iter	Passed	Remaining
0	869	42627
1	1598	38352
2	2317	36311
3	3054	35121
4	3755	33795
5	4465	32746
6	5182	31836
7	5891	30928
8	6596	30048
9	7298	29195
10	7994	28344
11	8722	27619
12	9418	26807
13	10149	26099
14	10832	25275
15	11500	24439
16	12153	23592
17	12842	22831
18	13502	22030
19	14178	21267
20	14891	20563
21	15586	19837
22	16274	19104
23	16980	18395
24	17626	17626
25	18245	16841
26	18892	16093
27	19552	15362
28	20238	14655
29	20945	13963
30	21571	13221
31	22258	12520
32	22915	11805
33	23557	11085
34	24176	10361
35	24805	9646
36	25462	8946
37	26067	8231
38	26692	7528
39	27317	6829
40	27933	6131
41	28564	5440
42	29193	4752
43	29792	4062
44	30445	3382
45	31062	2701
46	31683	2022
47	32313	1346
48	32932	672
49	33578	0
