Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
53,30614,1,1,60,76,60,60,60.0,0.0,76,76,76.0,0.0,4442.4119683805,65.3295877703,30614.0,0.0,30614,30614,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.664795,32.664795,60,76,65.3,9.234,85.333336,0,0,0,0,0,0,0,0,1,98.0,60.0,76.0,20,0,0,0,0,0,0,1,60,1,76,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
53,23847,2,2,68,192,34,34,34.0,0.0,96,96,96.0,0.0,10902.83893,167.7359836,7949.0,13724.792,23797,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,40,83.86799,83.86799,34,96,58.8,33.97,1153.2,0,0,0,0,0,0,0,0,1,73.5,34.0,96.0,64,0,0,0,0,0,0,2,68,2,192,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,5,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,5,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0,0,0,64,0,400000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,81972653,8,6,56,11607,20,0,7.0,5.656,5755,0,1934.0,2530.0,142.2791574,0.170788665,6305588.5,20100000.0,72800000,3,80100000,11400000.0,27200000.0,72800000,3,1844185,368837.0,824078.9,1842994,15,0,0,0,0,172,132,0.09759352,0.073195145,0,5755,778.0,1800.0,3239931.8,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.0,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,1997.0,0.0,1997,1997,40100000.0,46400000.0,72800000,7280791
80,98663976,9,7,411,11595,411,0,45.66,137.0,5792,0,1656.0,2118.0,121.6857508,0.162166584,6577598.5,25500000.0,98600000,1,98600000,12300000.0,34900000.0,98600000,1,79713,13285.5,26837.982,67196,41,0,0,0,0,296,232,0.0912187,0.07094788,0,5792,706.0,1537.0,2363591.8,0,0,0,0,1,0,0,0,0,750.5,45.66,1656.0,296,0,0,0,0,0,0,9,411,7,11595,274,235,1,32,1039.0,0.0,1039,1039,98600000.0,0.0,98600000,98600000
80,101084625,10,7,1308,11595,321,0,130.8,163.8,5792,0,1656.0,2120.0,127.6455247,0.168175922,6317789.0,25000000.0,100000000,15,101000000,11200000.0,33300000.0,100000000,987,101000000,16800000.0,40800000.0,100000000,15,0,0,0,0,280,232,0.09892701,0.06924891,0,5792,717.0,1482.0,2196809.5,1,0,0,0,0,0,0,0,0,759.5,130.8,1656.0,280,0,0,0,0,0,0,10,1308,7,11595,0,235,7,20,11989.0,0.0,11989,11989,100000000.0,0.0,100000000,100000000
366,49,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,163265.3061,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,20408.164,20408.164,2,6,3.334,2.309,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
443,123190,14,9,655,7059,405,0,46.78,111.4,1413,0,784.5,714.0,62618.71905,186.7034662,5599.5454,12794.5205,36632,20,123190,9476.154,15900.088,37123,48,75878,9484.75,17077.412,37330,48,0,0,0,0,460,296,113.64559,73.05788,0,1413,321.5,564.5,318618.6,0,0,0,1,0,0,0,0,0,335.5,46.78,784.5,460,0,0,0,0,0,0,14,655,9,7059,65535,349,5,32,0.0,0.0,0,0,0.0,0.0,0,0
53,140,2,2,72,104,36,36,36.0,0.0,52,52,52.0,0.0,1257142.857,28571.42857,46.666668,75.63289,134,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,14285.714,14285.714,36,52,42.4,8.766,76.8,0,0,0,0,0,0,0,0,1,53.0,36.0,52.0,64,0,0,0,0,0,0,2,72,2,104,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,2233549,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,10.74523102,1.790871837,744516.3,1288926.1,2232840,293,2233549,744516.3,1288926.1,2232840,293,0,0.0,0.0,0,0,0,0,0,0,80,0,1.7908719,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
